HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Unknown	Unknown
HGNC:447	ZBED1	zinc finger BED-type containing 1	Approved	ALTE	TRAMP, KIAA0785, DREF, hDREF	Xp22.33 and Yp11	AB018328	NM_004729	PAR1, ZBED	"Pseudoautosomal regions / PAR1", "Zinc fingers, BED-type"
HGNC:460	AMD1P2	adenosylmethionine decarboxylase 1 pseudogene 2	Approved	AMD2, AMD, AMDP1	AMDPX, AMDPY	Xq28 and Yq12	U02035	NG_001073	PAR2	"Pseudoautosomal regions / PAR2"
HGNC:37115	DDX11L16	DEAD/H-box helicase 11 like 16	Approved			Xq28 and Yq12	AM992882	NG_006978.2	PAR2	"Pseudoautosomal regions / PAR2"
HGNC:38719	DPH3P2	diphthamide biosynthesis 3 pseudogene 2	Approved			Xq28 and Yq12			PAR2	"Pseudoautosomal regions / PAR2"
HGNC:38160	ELOCP24	elongin C pseudogene 24	Approved	TCEB1P25, TCEB1P24		Xq28 and Yq12			PAR2	"Pseudoautosomal regions / PAR2"
HGNC:6030	IL9R	interleukin 9 receptor	Approved		CD129	Xq28 and Yq12	M84747	NM_002186	PAR2, IL, CD	"Pseudoautosomal regions / PAR2", "Interleukins and interleukin receptors", "CD molecules"
HGNC:11271	SPRY3	sprouty RTK signaling antagonist 3	Approved		HSPRY3	Xq28 and Yq12	AF041038	NM_005840	PAR2	"Pseudoautosomal regions / PAR2"
HGNC:23270	TRPC6P	transient receptor potential cation channel subfamily C member 6, pseudogene	Approved		TRPC6L	Xq28 and Yq12		NG_005687	PAR2	"Pseudoautosomal regions / PAR2"
HGNC:11486	VAMP7	vesicle associated membrane protein 7	Approved	SYBL1	VAMP-7, TI-VAMP	Xq28 and Yq12	AJ295938	NM_005638	PAR2, VAMP	"Pseudoautosomal regions / PAR2", "Vesicle-associated membrane proteins"
HGNC:31685	WASH6P	WAS protein family homolog 6 pseudogene	Approved	FAM39A, CXYorf1		Xq28 and Yq12	AI042587	NG_008380	PAR2, WASH	"Pseudoautosomal regions / PAR2", "WAS protein homologs"
HGNC:38513	WASIR1	WASH and IL9R antisense RNA 1	Approved	NCRNA00286B		Xq28 and Yq12	AJ271736		PAR2, LNCRNA	"Pseudoautosomal regions / PAR2", "Long non-coding RNAs"
